Partic,Session,Token,Group,Duration,I-min,I-max,RI,RI%,MaxRisingVelocity,WMRV,Spectral,Category,,,,,,,,,,
1,1,13,Experimental,0.009989002,61.88846566,77.77681692,15.88835126,0.256725564,919.3043545,11.81977344,Stripe/Burst,tap,,,,,,,,,,
1,1,16,Experimental,0.015736322,59.38376872,67.50580354,8.122034819,0.136771966,293.196599,4.34327989,Stripe/Burst,tap,,,,,,,,,,
1,1,23,Experimental,0.017932745,55.88479567,66.94805568,11.06326002,0.197965473,755.0379976,11.27796752,Whitening,tap,,,,,,,,,,
1,1,32,Experimental,0.013019208,66.05757104,75.50823583,9.450664792,0.143067095,209.8373093,2.778998966,Continuous,approximant,,,,,,,,,,
1,1,37,Experimental,0.01712449,59.94862211,71.97089449,12.02227238,0.200542931,660.6553693,9.17947976,Whitening,tap,,,,,,,,,,
1,1,38,Experimental,0.033501,53.75482556,77.5133425,23.75851694,0.44197924,1056.46915,13.62951352,Whitening,approximant,,,,,,,,,,
1,1,43,Experimental,0.013653245,65.61115494,75.22856896,9.617414022,0.146581996,583.9776197,7.762710733,Whitening,tap,,,,,,,,,,
1,1,44,Experimental,0.021126,55.83988703,78.00427339,22.16438636,0.396927493,838.7176547,10.75220136,Whitening,tap,,,,,,,,,,
1,2,1,Experimental,0.077778748,31.33980093,61.88994092,30.55014,0.974803256,1372.902598,22.18296831,Stripe/Burst,stop,,,,,,,,,,
1,2,2,Experimental,0.078636027,41.34424645,60.80834053,19.46409408,0.470781203,1383.782935,22.75646602,Whitening,approximant,,,,,,,,,,
1,2,3,Experimental,0.044608234,39.36874711,62.2117201,22.84297299,0.580231139,1281.062567,20.59198114,Whitening,approximant,,,,,,,,,,
1,2,4,Experimental,0.075062315,33.91655017,58.5935269,24.67697673,0.727579209,1120.7194,19.12701726,Stripe/Burst,stop,,,,,,,,,,
1,2,5,Experimental,0.059573529,26.8509099,60.20956533,33.35865543,1.242365922,1232.226588,20.46562836,Stripe/Burst,stop,,,,,,,,,,
1,5,12,Experimental,0.025633373,39.87997877,53.42961144,13.54963268,0.339760278,615.1363313,11.51302274,Continuous,approximant,,,,,,,,,,
1,5,21,Experimental,0.02301162,44.06070745,73.29038971,29.22968226,0.663395664,1108.715864,15.12771141,Stripe/Burst,tap,,,,,,,,,,
1,5,22,Experimental,0.018835461,49.67095918,66.2355243,16.56456513,0.333485912,898.6761762,13.56788801,Whitening,tap,,,,,,,,,,
1,5,23,Experimental,0.0159055,66.72751803,75.91559751,9.188079476,0.137695508,547.3099367,7.209453059,Whitening,tap,,,,,,,,,,
1,5,25,Experimental,0.012068815,64.41316005,78.97428304,14.56112299,0.2260582,572.8532048,7.253667684,Whitening,tap,,,,,,,,,,
1,5,29,Experimental,0.043305548,28.69357411,55.96642126,27.27284715,0.950486233,1123.652513,20.07726219,Whitening,approximant,,,,,,,,,,
1,5,30,Experimental,0.012695295,63.72076993,68.75170349,5.030933559,0.078952806,292.2247806,4.250436946,Stripe/Burst,tap,,,,,,,,,,
1,5,33,Experimental,0.009875703,74.8759068,79.76062735,4.884720551,0.065237548,322.8335787,4.047530585,Whitening,tap,,,,,,,,,,
1,5,41,Experimental,0.038709045,46.13727063,72.50644702,26.36917639,0.571537415,1406.519921,19.39854976,Continuous,approximant,,,,,,,,,,
1,5,44,Experimental,0.011772808,71.2437516,74.81665494,3.572903337,0.05015041,365.3364319,4.883089631,Whitening,tap,,,,,,,,,,
1,6,3,Experimental,0.018203114,68.32592046,76.25859237,7.932671912,0.116100476,223.7197721,2.933699209,Whitening,tap,,,,,,,,,,
1,6,11,Experimental,0.019675718,65.86762232,75.02082944,9.153207122,0.138963679,277.0150194,3.692508087,Whitening,tap,,,,,,,,,,
1,6,27,Experimental,0.017887699,68.18801645,77.15120502,8.963188579,0.13144815,394.6298304,5.115018362,Whitening,tap,,,,,,,,,,
1,6,36,Experimental,0.034268085,63.36347632,77.2474408,13.88396448,0.219116205,435.4196255,5.636686743,Whitening,approximant,,,,,,,,,,
1,6,37,Experimental,0.037918605,70.73866269,80.14435439,9.405691704,0.132963946,142.1840581,1.774099488,Continuous,approximant,,,,,,,,,,
1,6,42,Experimental,0.05364026,52.0089094,72.77022051,20.76131111,0.399187588,779.7173381,10.71478598,Stripe/Burst,stop,,,,,,,,,,
1,6,62,Experimental,0.020710945,71.99047407,84.18027043,12.18979636,0.16932513,330.1860798,3.922368961,Continuous,approximant,,,,,,,,,,
1,6,66,Experimental,0.01948644,65.76775046,82.3224014,16.55465094,0.251713808,510.0570638,6.19584773,Stripe/Burst,tap,,,,,,,,,,
3,1,13,Comparison,0.026479589,54.63256206,74.22136852,19.58880646,0.358555516,728.2198227,9.811457768,Stripe/Burst,tap,,,,,,,,,,
3,1,16,Comparison,0.023692335,57.29638341,76.43950415,19.14312074,0.334106965,564.5296875,7.38531331,Whitening,tap,,,,,,,,,,
3,1,23,Comparison,0.04903219,51.95907063,73.40537287,21.44630224,0.412753769,778.2933009,10.60267485,Stripe/Burst,stop,,,,,,,,,,
3,1,32,Comparison,0.03902267,46.05658124,81.90673398,35.85015274,0.778393701,1103.489796,13.47251614,Stripe/Burst,stop,,,,,,,,,,
3,1,37,Comparison,0.018416,54.14598689,72.3857152,18.23972831,0.336862053,981.8468423,13.56409672,Strip,approximant,,,,,,,,,,
3,1,38,Comparison,0.055366413,50.24491308,73.5850553,23.34014222,0.464527467,735.5593941,9.996043233,Stripe/Burst,stop,,,,,,,,,,
3,1,43,Comparison,0.022464,50.67917797,76.40273894,25.72356097,0.507576523,1079.705211,14.13176054,Stripe/Burst,tap,,,,,,,,,,
3,1,44,Comparison,0.034843673,43.05283028,73.96595076,30.91312048,0.718027602,852.0848126,11.51996025,Stripe/Burst,stop,,,,,,,,,,
3,2,1,Comparison,0.056032025,35.54555341,65.39132938,29.84577597,0.839648651,1051.110487,16.07415687,Stripe/Burst,stop,,,,,,,,,,
3,2,2,Comparison,0.024744,53.08081332,65.13549372,12.05468041,0.227100522,743.2427598,11.41071814,Stripe/Burst,tap,,,,,,,,,,
3,2,3,Comparison,0.02959,53.52578603,71.83102773,18.3052417,0.341989218,919.0240586,12.79424905,Stripe/Burst,tap,,,,,,,,,,
3,2,4,Comparison,0.029585781,50.00815764,69.76307718,19.75491953,0.39503394,846.2457238,12.13028092,Stripe/Burst,tap,,,,,,,,,,
3,2,5,Comparison,0.054674829,34.93741723,66.19826715,31.26084992,0.894767055,1496.244458,22.60247167,Stripe/Burst,stop,,,,,,,,,,
3,5,11,Comparison,0.043888616,40.84932869,60.45752356,19.60819487,0.480012659,1014.870924,16.78651165,Stripe/Burst,stop,,,,,,,,,,
3,5,12,Comparison,0.040205811,35.67616939,59.71186654,24.03569715,0.673718551,1701.850243,28.5010391,Stripe/Burst,stop,,,,,,,,,,
3,5,21,Comparison,0.044249818,31.44551097,51.0513775,19.60586652,0.623486975,1687.459191,33.05413632,Stripe/Burst,stop,,,,,,,,,,
3,5,22,Comparison,0.019545,33.53195518,47.67545012,14.14349494,0.421791538,544.385298,11.41856651,Continuous,approximant,,,,,,,,,,
3,5,23,Comparison,0.038107832,37.80117677,59.92694796,22.12577119,0.58531964,1550.82816,25.87864412,Stripe/Burst,stop,,,,,,,,,,
3,5,25,Comparison,0.044484716,35.50107085,62.57302976,27.0719589,0.762567389,1239.427046,19.80768792,Stripe/Burst,stop,,,,,,,,,,
3,5,29,Comparison,0.031106613,38.29321512,62.93866353,24.64544842,0.643598307,1085.571042,17.24807903,Stripe/Burst,stop,,,,,,,,,,
3,5,30,Comparison,0.032868757,43.61285298,50.52247676,6.909623782,0.158430905,764.268846,15.12730363,Stripe/Burst,stop,,,,,,,,,,
3,5,33,Comparison,0.053085088,32.60889003,52.89746468,20.28857465,0.622179247,958.5172076,18.12028636,Stripe/Burst,stop,,,,,,,,,,
3,5,41,Comparison,0.048137623,31.8475114,59.08817347,27.24066207,0.855346646,1551.978645,26.26546995,Stripe/Burst,stop,,,,,,,,,,
3,5,44,Comparison,0.041436097,38.75516192,58.51224817,19.75708625,0.509792381,1274.037554,21.77386093,Stripe/Burst,stop,,,,,,,,,,
3,6,3,Comparison,0.046900695,53.24116072,63.61212386,10.37096314,0.194792206,835.2721561,13.13070694,Stripe/Burst,stop,,,,,,,,,,
3,6,11,Comparison,0.023426679,43.89724435,65.56916031,21.67191596,0.493696502,715.0693802,10.90557477,Stripe/Burst,tap,,,,,,,,,,
3,6,27,Comparison,0.028574217,44.92755188,63.48306487,18.55551298,0.413009661,575.0912143,9.058970537,Stripe/Burst,tap,,,,,,,,,,
3,6,37,Comparison,0.014672154,48.970675,69.71994201,20.74926701,0.423708005,583.3573967,8.367152637,Whitening,tap,,,,,,,,,,
